Year;tmax01;tmax02;tmax03;tmax04;tmax05;tmax06;tmax07;tmax08;tmax09;tmax10;tmax11;tmax12
1962;10.3;10.1;10.5;15.7;17.9;23.8;24.8;26.3;23.4;19.2;10.8;7.6
1963;5.3;7.1;13.4;16.0;18.7;21.6;25.3;21.6;20.8;18.3;15.2;7.3
1964;6.3;11.3;12.0;15.9;21.5;23.4;27.2;25.7;24.5;15.8;11.6;8.7
1965;9.3;7.7;13.5;14.8;19.1;22.6;23.3;23.5;19.6;19.8;12.8;11.9
1966;9.6;14.4;13.1;17.3;19.6;23.0;22.6;23.8;24.7;18.2;10.9;11.0
1967;8.9;11.5;14.3;16.0;19.0;22.3;27.1;25.0;21.9;20.2;13.3;7.7
1968;9.9;11.1;13.1;17.2;18.2;22.5;24.7;23.3;21.6;20.6;13.4;9.5
1969;10.7;8.9;13.0;16.0;19.6;21.2;26.5;24.9;21.6;20.6;13.0;7.3
1970;10.5;11.0;10.8;14.2;20.0;24.2;24.9;24.7;24.6;17.9;15.4;7.2
1971;10.0;10.5;10.2;18.2;19.3;20.5;27.1;25.0;23.6;20.2;11.3;9.5
1972;9.1;11.9;15.2;14.7;17.5;20.4;25.1;23.4;20.5;18.5;13.6;10.5
1973;7.9;8.9;13.8;15.3;20.8;23.8;24.1;27.2;24.3;17.4;13.7;9.1
1974;12.0;11.2;13.5;16.1;19.3;23.5;25.2;26.0;20.6;13.7;13.6;11.9
1975;11.8;13.2;11.1;15.5;18.0;22.9;26.7;26.9;22.2;17.6;12.6;6.9
1976;9.1;11.9;14.1;16.2;21.4;27.2;27.1;27.1;21.6;17.3;11.5;9.2
1977;9.0;12.9;15.2;15.2;17.4;20.4;22.9;23.0;22.8;19.8;12.7;11.4
1978;8.8;11.3;13.6;13.7;18.0;20.8;23.5;24.5;23.9;19.0;13.3;11.4
1979;8.0;10.4;12.6;14.0;18.5;22.3;25.8;23.2;23.1;18.9;12.1;11.1
1980;8.0;12.5;12.1;15.2;18.0;20.3;22.7;25.3;24.3;17.5;11.5;8.5
1981;9.6;9.3;15.5;16.8;18.0;22.7;23.2;26.4;23.4;17.9;13.3;10.9
1982;12.1;12.1;13.0;17.5;20.6;24.1;27.3;23.8;24.8;17.5;14.1;10.2
1983;10.8;8.8;13.4;15.5;17.7;23.8;29.0;25.2;23.6;19.1;14.7;10.4
1984;10.0;9.5;12.3;18.6;15.6;22.9;26.8;25.0;21.0;18.0;15.2;9.9
1985;4.9;12.3;11.8;17.1;18.1;21.8;26.3;24.3;26.6;20.7;10.2;10.2
1986;9.9;6.6;13.2;12.3;20.2;23.5;25.9;24.7;23.1;20.3;13.8;11.1
1987;4.2;9.7;11.9;18.4;18.5;21.1;24.6;25.9;25.5;18.9;12.6;11.0
1988;12.5;11.5;12.5;17.2;19.4;22.7;24.0;25.6;22.7;20.1;13.5;10.4
1989;10.2;12.4;16.5;14.3;23.9;25.1;27.7;27.0;24.2;20.7;14.4;12.8
1990;10.6;15.9;16.5;15.4;23.3;22.4;27.8;28.7;24.7;20.3;12.6;7.9
1991;9.1;9.6;15.3;15.7;18.5;21.0;26.3;29.1;25.4;16.8;12.6;9.4
1992;7.7;11.6;13.9;16.3;23.0;21.6;25.6;26.2;22.1;15.2;15.3;10.8
1993;11.6;10.4;14.6;16.2;20.1;23.6;23.8;26.3;20.8;15.8;11.1;12.0
1994;10.5;12.2;16.1;14.7;20.7;24.0;27.9;26.6;20.6;19.0;15.7;11.8
1995;10.6;13.7;13.6;16.5;21.0;23.4;28.2;27.4;20.7;22.3;14.1;10.4
1996;12.4;9.2;13.9;17.6;19.0;25.3;26.0;25.1;22.0;18.8;12.6;9.3
1997;8.7;14.4;17.5;19.1;21.6;22.1;25.0;28.3;26.0;20.1;14.7;11.2
1998;11.2;13.1;15.4;14.8;21.9;23.7;24.8;27.9;22.6;17.7;11.5;10.1
1999;11.3;10.3;15.3;16.7;21.9;23.2;27.0;26.5;24.8;19.1;11.8;11.1
