Year.GHD;Bor;Bur;Cha2;LLV;Spa;Swi
1497;NA;34.25;NA;NA;NA;23.0
1498;NA;29.75;NA;NA;NA;34.0
1499;NA;25.75;NA;NA;49.0;35.0
1500;NA;10.25;NA;NA;40.0;NA
1501;NA;15.50;NA;NA;37.0;NA
1502;NA;22.25;NA;NA;NA;33.0
1503;NA;19.25;NA;NA;39.0;17.0
1504;NA;9.25;NA;NA;36.0;27.0
1505;NA;39.75;NA;NA;NA;46.0
1506;NA;22.75;NA;NA;48.0;41.0
1507;NA;12.75;NA;NA;NA;26.0
1508;NA;26.50;NA;NA;53.0;NA
1509;NA;14.75;NA;NA;NA;35.0
1510;NA;21.75;NA;NA;45.0;35.0
1511;NA;40.50;NA;NA;35.0;51.0
1512;NA;18.25;NA;NA;45.0;33.0
1513;NA;12.00;NA;NA;57.0;35.0
1514;NA;29.50;NA;NA;NA;36.0
1515;NA;28.25;NA;NA;NA;46.0
1516;NA;6.25;NA;NA;NA;NA
1517;NA;22.50;NA;NA;45.0;24.0
1518;NA;18.50;NA;NA;NA;35.0
1519;NA;32.75;NA;NA;47.0;41.0
1520;NA;5.00;NA;NA;NA;26.0
1521;NA;10.00;NA;NA;NA;26.0
1522;NA;28.75;NA;NA;NA;41.0
1523;NA;22.25;NA;NA;NA;35.0
1524;NA;8.00;NA;NA;NA;NA
1525;NA;13.75;NA;NA;NA;NA
1526;NA;25.00;NA;NA;NA;33.0
1527;NA;36.25;NA;NA;61.0;NA
1528;NA;27.75;NA;NA;53.0;39.0
1529;NA;31.25;NA;NA;45.0;50.0
1530;NA;8.25;NA;NA;NA;50.0
1531;NA;26.50;NA;NA;NA;35.0
1532;27.0;16.75;NA;NA;NA;NA
1533;35.0;27.75;NA;NA;NA;39.0
1534;24.0;13.25;NA;NA;NA;NA
1535;NA;24.75;NA;NA;NA;NA
1536;NA;5.75;NA;NA;NA;NA
1537;NA;31.75;NA;NA;NA;NA
1538;NA;6.75;NA;NA;NA;NA
1539;NA;19.25;NA;NA;NA;NA
1540;NA;-0.75;NA;NA;37.0;NA
1541;NA;39.75;NA;NA;53.0;NA
1542;NA;47.00;NA;NA;49.0;NA
1543;NA;26.25;NA;NA;48.0;NA
1544;NA;25.00;NA;NA;NA;NA
1545;NA;8.75;NA;NA;31.0;NA
1546;NA;14.25;NA;NA;32.0;NA
1547;NA;21.25;NA;NA;NA;NA
1548;NA;22.75;NA;NA;NA;NA
1549;NA;28.25;NA;NA;NA;21.0
1550;NA;29.25;NA;NA;NA;39.0
1551;NA;19.75;NA;NA;47.0;34.8
1552;NA;8.75;NA;NA;45.0;27.3
1553;NA;28.75;NA;NA;51.0;38.3
1554;NA;13.00;NA;NA;41.0;30.8
1555;NA;32.75;NA;NA;49.0;45.3
1556;NA;-6.75;NA;NA;41.0;6.6
1557;NA;23.25;NA;NA;70.0;37.0
1558;NA;22.25;NA;NA;52.0;36.0
1559;NA;-2.75;NA;NA;NA;17.0
1560;NA;32.50;NA;NA;54.0;42.6
1561;NA;9.75;NA;NA;41.0;32.6
1562;NA;17.00;NA;NA;47.0;33.3
1563;NA;23.25;NA;NA;NA;44.0
1564;NA;42.50;NA;NA;42.0;34.6
1565;NA;9.00;NA;NA;45.0;43.3
