Year.GHD;Bor;Bur;Cha2;LLV;Spa;Swi
1928;17.4;24.87;27.8;35.0;38.0;27.6
1929;22.1;24.43;25.3;39.0;33.0;26.6
1930;26.4;27.43;25.3;48.0;42.0;33.6
1931;20.1;25.87;27.0;44.0;42.0;32.6
1932;39.9;38.50;34.0;45.0;42.0;40.3
1933;20.1;25.87;22.8;37.0;42.0;36.0
1934;16.1;15.87;15.0;36.0;42.0;19.6
1935;24.1;30.87;29.0;38.0;42.0;34.0
1936;31.1;30.50;31.0;41.0;42.0;31.1
1937;19.1;23.00;21.0;42.0;42.0;25.0
1938;24.7;36.00;28.0;45.0;42.0;39.3
1939;26.2;42.68;34.0;41.0;42.0;44.0
1940;24.4;23.00;25.0;42.0;40.0;27.6
1941;24.9;37.43;36.0;45.0;57.0;39.0
1942;21.1;25.68;24.0;44.0;33.0;25.6
1943;14.7;19.64;15.0;40.0;34.0;23.0
1944;20.9;29.75;27.0;40.0;46.0;29.0
1945;8.9;17.00;8.0;NA;45.0;12.0
1946;29.8;24.64;28.0;37.0;44.0;25.0
1947;13.1;15.70;5.0;29.0;36.0;18.6
1948;20.8;25.20;20.0;31.0;43.0;36.6
1949;26.1;24.64;19.0;26.0;29.0;29.0
1950;17.1;21.00;11.0;27.0;34.0;28.0
1951;34.1;34.14;31.0;46.0;47.0;41.0
1952;16.1;16.93;8.0;26.0;43.0;22.3
1953;28.8;23.20;15.0;35.0;43.0;32.6
1954;35.4;37.45;27.0;48.0;50.0;44.0
1955;25.1;30.50;28.0;34.0;36.0;36.6
1956;39.2;41.16;38.0;45.0;52.0;42.6
1957;29.1;32.00;20.0;37.0;46.0;33.6
1958;35.4;29.87;31.0;46.0;43.0;29.6
1959;20.6;14.35;10.0;26.0;40.0;23.6
1960;13.4;19.87;12.0;29.0;40.0;27.6
1961;14.6;24.50;20.0;33.0;33.0;30.0
1962;30.7;37.10;34.0;48.0;45.0;38.6
1963;33.1;35.87;35.0;51.0;52.0;39.6
1964;25.1;20.83;17.0;35.0;32.0;25.3
1965;30.6;41.16;39.5;52.0;44.0;41.6
1966;22.5;25.50;23.0;41.0;43.0;26.6
1967;22.2;30.68;28.0;40.0;48.0;28.0
1968;24.3;31.00;33.5;45.0;48.0;28.0
1969;23.5;34.87;31.0;36.0;47.0;29.3
1970;26.5;28.92;27.0;36.0;44.0;31.3
1971;26.6;16.41;18.0;35.0;59.5;26.2
1972;36.1;36.00;42.0;50.0;58.5;36.7
1973;24.9;23.28;28.0;35.0;45.5;28.1
1974;26.6;24.39;28.0;40.0;57.5;30.2
1975;24.1;28.16;30.5;39.0;55.0;25.6
1976;11.7;7.87;1.0;20.0;39.0;15.6
1977;34.4;34.07;36.0;NA;64.0;38.1
1978;35.2;35.41;39.0;NA;60.5;39.5
1979;29.7;27.41;33.0;43.3;45.5;29.5
1980;34.7;38.23;39.0;48.3;58.0;37.2
1981;24.2;23.66;28.0;41.3;43.0;20.7
1982;14.7;17.23;20.0;25.3;39.5;17.7
1983;27.2;24.70;29.0;38.3;36.5;19.7
1984;27.2;31.16;38.0;43.3;40.5;30.6
1985;23.7;26.00;30.0;40.3;46.5;33.6
1986;27.7;24.41;30.0;42.4;41.0;27.5
1987;28.7;28.28;37.0;44.4;46.5;31.7
1988;27.2;21.81;26.0;35.9;33.0;22.6
1989;1.2;13.20;12.0;21.3;32.5;16.5
1990;9.2;17.62;16.0;25.4;31.5;18.6
1991;25.7;25.41;31.0;40.3;43.0;24.5
1992;19.7;15.00;19.0;24.9;44.5;15.6
1993;17.2;15.92;14.0;32.4;34.0;17.0
1994;13.2;17.55;19.0;27.9;22.5;10.0
1995;13.2;21.92;25.0;31.3;36.0;22.0
1996;17.7;19.47;22.0;33.9;37.5;26.6
1997;12.7;12.24;18.0;32.9;28.5;21.6
1998;15.7;17.66;17.0;34.3;45.0;14.5
1999;4.2;15.66;19.0;27.4;38.5;23.0
2000;15.7;11.74;17.0;29.4;33.5;6.0
2001;18.7;19.57;26.0;30.9;41.5;20.0
2002;26.7;16.20;17.0;34.4;35.0;20.3
2003;-4.3;-11.42;-4.0;13.3;27.0;-7.7
2004;11.1;21.16;26.0;31.0;37.5;24.8
2005;-4.9;12.04;16.0;24.0;30.0;20.8
2006;16.1;17.16;16.0;28.3;28.5;19.8
2007;NA;1.00;NA;NA;33.0;16.0
2008;NA;26.00;NA;NA;NA;NA
2009;NA;8.00;NA;NA;NA;NA
2010;NA;20.00;NA;NA;NA;NA
